Topic,Frequency,date,Name
19,4,25/4/2020,19_minister_honorable_ministers_honourab...
20,8,25/4/2020,20_supermarket_shop_supermarkets_shops
21,6,25/4/2020,21_election_pap_vote_party
22,8,25/4/2020,22_government_govt_governance_sg
24,10,25/4/2020,24_team_hard_teams_appreciate
25,19,25/4/2020,25_test_testing_tested_tests
26,16,25/4/2020,26_dorms_dormitories_dormitory_dorm
27,2,25/4/2020,27_lot_alot_thanksa_thankspm
28,4,25/4/2020,28_circuit_breaker_measures_extend
29,8,25/4/2020,29_sg_united_strong_congratulations
30,3,25/4/2020,30_bangladesh_bangladeshi_love_respect
31,2,25/4/2020,31_drink_language_sip_tea
32,2,25/4/2020,32_otters_animals_otter_fishes
33,3,25/4/2020,33_pray_praying_prayers_prayer
34,9,25/4/2020,34_exercise_jogging_exercising_cycling
35,1,25/4/2020,35_salon_barber_haircut_hairdresser
36,4,25/4/2020,36_sad_suicide_cry_crying
37,4,25/4/2020,37_love_dear_leemagiccup_amorous
38,5,25/4/2020,38_eat_food_eating_dine
39,3,25/4/2020,39_migrant_workers_migrants_care
40,3,25/4/2020,40_extend_cb_ccb_extension
41,3,25/4/2020,41_thankyou_thankyouswitzerrland_hon_app...
42,4,25/4/2020,42_safe_stay_keep_calm
43,2,25/4/2020,43_mothers_mothership_mums_mum
44,7,25/4/2020,44_singapura_majulah_singapor_majullah
45,1,25/4/2020,45_lockdown_lock_partial_curve
46,2,25/4/2020,46_switzerland_swiss_visit_solidarity
47,1,25/4/2020,47_stupid_stupidity_idiot_dumb
48,1,25/4/2020,48_speech_speeches_reassuring_spoken
49,71,25/4/2020,49_condolences_annabel_ms_condolence
50,2,25/4/2020,50_wedding_wife_marriage_bouquet
51,6,25/4/2020,51_loong_kuan_yew_salute
52,2,25/4/2020,52_privacy_tracetogether_tracing_bluetoo...
53,18,25/4/2020,53_job_great_good_well
55,7,25/4/2020,55_hope_dream_chance_juliet
56,6,25/4/2020,56_song_sing_music_voice
57,3,25/4/2020,57_news_hapugalle_media_sharing
58,1,25/4/2020,58_conditioning_solar_coal_energy
62,1,25/4/2020,62_malaysia_malaysian_indonesia_malay
63,1,25/4/2020,63_congratulations_proud_muthukumarasamy...
64,4,25/4/2020,64_photo_picture_photos_pic
65,1,25/4/2020,65_ministers_cabinet_appreciate_prime
69,4,25/4/2020,69_recovery_discharged_wishing_discharge
70,4,25/4/2020,70_rental_landlords_landlord_rent
71,2,25/4/2020,71_morning_good_day_happy
74,1,25/4/2020,74_sunset_sky_sun_sunsets
75,5,25/4/2020,75_bless_shepherd_flock_fauna
77,13,25/4/2020,77_amazing_awesome_excellent_fantastic
78,1,25/4/2020,78_pools_pool_gym_swimming
79,2,25/4/2020,79_leader_politician_austrian_mendelsohn
80,1,25/4/2020,80_bid_bundle_bidders_osso
81,3,25/4/2020,81_bless_blessed_lord_blessing
82,20,25/4/2020,82_rip_sad_ndp_loss
83,1,25/4/2020,83_evil_cruel_worst_hell
84,3,25/4/2020,84_love_thanks_beloved_raley
85,1,25/4/2020,85_mf_tm_tmr_lj
-1,688,28/4/2020,-1_together_bless_well_everyone
0,181,28/4/2020,0_ng_lim_wong_yang
1,61,28/4/2020,1_money_pay_jobs_salary
2,112,28/4/2020,2_singaporean_singaporeans_proud_ministe...
3,56,28/4/2020,3_hardcore_gastor_gateway_gates
4,125,28/4/2020,4_leadership_leaders_proud_kindness
5,12,28/4/2020,5_mask_wear_masks_face
6,22,28/4/2020,6_phase_ntuc_june_time
7,14,28/4/2020,7_hari_allah_muslim_ramadan
8,5,28/4/2020,8_police_jail_enforcement_fines
9,72,28/4/2020,9_care_appreciate_advice_caring
10,45,28/4/2020,10_safe_healthy_care_stay
11,15,28/4/2020,11_home_stay_safe_staying
12,66,28/4/2020,12_thanku_dear_sri_merci
13,51,28/4/2020,13_covid_fight_fighting_pandemic
14,6,28/4/2020,14_school_parents_schools_teachers
15,7,28/4/2020,15_china_taiwan_chinese_kong
16,19,28/4/2020,16_virus_coronavirus_corona_infected
17,33,28/4/2020,17_nurses_doctors_nurse_staff
18,16,28/4/2020,18_happy_wishes_buddha_wish
19,32,28/4/2020,19_minister_honorable_ministers_honourab...
20,8,28/4/2020,20_supermarket_shop_supermarkets_shops
21,6,28/4/2020,21_election_pap_vote_party
22,24,28/4/2020,22_government_govt_governance_sg
