Topic,Frequency,date,Name
29,2,30/6/2020,29_morning_sirs_herro_morningeverbody
30,4,30/6/2020,30_talk_listening_dialogue_louder
31,3,30/6/2020,31_eat_food_eating_lunch
32,3,30/6/2020,32_mask_eating_eat_coffee
33,4,30/6/2020,33_hari_proud_muslim_muslims
35,12,30/6/2020,35_photo_picture_pic_beautiful
36,23,30/6/2020,36_vote_voted_votes_voting
37,6,30/6/2020,37_covid_test_ge_markets
38,6,30/6/2020,38_hope_future_better_tomorrow
39,30,30/6/2020,39_vote_election_votepap_papy
40,2,30/6/2020,40_pink_tie_color_wear
41,6,30/6/2020,41_social_ambassadors_ambassador_gatheri...
42,15,30/6/2020,42_goodmorning_goodluck_lidder_mmorning
43,29,30/6/2020,43_support_supporting_heartedly_izzy
44,21,30/6/2020,44_wishes_wish_administration_victories
46,4,30/6/2020,46_parliament_opposition_debates_debate
47,10,30/6/2020,47_hello_dear_cavair_archana
48,2,30/6/2020,48_police_enforcement_fined_laws
49,5,30/6/2020,49_china_chinese_mandarin_coronavirus
52,4,30/6/2020,52_evening_night_goodnight_nights
53,1,30/6/2020,53_song_rendition_sang_singing
54,30,30/6/2020,54_hero_super_superman_star
55,10,30/6/2020,55_job_jobs_worked_rewarded
57,2,30/6/2020,57_esm_contributions_missed_contribution
58,22,30/6/2020,58_allah_bless_pray_insha
59,2,30/6/2020,59_video_watching_watch_screen
60,4,30/6/2020,60_malaysia_malay_malaysian_malays
62,4,30/6/2020,62_bangladesh_bangladeshi_workers_respec...
64,7,30/6/2020,64_thanks_pro_sb_thankspro
65,8,30/6/2020,65_smile_happy_smiling_glad
66,9,30/6/2020,66_bless_diversity_squash_blessfor
67,17,30/6/2020,67_win_seat_winner_seats
68,4,30/6/2020,68_day_holiday_weekend_holidays
69,12,30/6/2020,69_win_victory_champion_winner
-1,571,3/7/2020,-1_support_well_need_leader
0,75,3/7/2020,0_lim_jia_lai_jin
1,87,3/7/2020,1_health_healthy_stay_leadership
2,51,3/7/2020,2_singaporean_singaporeans_opposition_pa...
3,89,3/7/2020,3_frontliners_fu_fuel_frontliner
4,8,3/7/2020,4_minister_prime_cabinet_ministers
5,1,3/7/2020,5_congratulations_onward_journey_go
6,11,3/7/2020,6_mask_wear_wearing_masks
7,16,3/7/2020,7_hsien_singapure_congratulations_strong...
8,4,3/7/2020,8_retirement_retire_happy_contribution
9,28,3/7/2020,9_suicide_pain_parents_family
10,1,3/7/2020,10_border_malaysia_borders_causeway
11,6,3/7/2020,11_tcb_hougang_tanjong_sengkang
12,3,3/7/2020,12_money_pay_salary_donate
13,53,3/7/2020,13_choice_paa_lc_pr
14,1,3/7/2020,14_psp_ps_go_win
15,2,3/7/2020,15_virus_infected_vaccine_testing
16,14,3/7/2020,16_singapura_majullah_singapureans_singa...
17,27,3/7/2020,17_love_boos_animal_honesty
18,10,3/7/2020,18_thank_thanku_thankyou_notifying
20,25,3/7/2020,20_pray_bless_blessing_blessings
21,2,3/7/2020,21_father_fathers_dad_blessed
22,4,3/7/2020,22_election_elections_campaign_polling
23,24,3/7/2020,23_luck_lucky_best_fortune
24,27,3/7/2020,24_vote_opposition_election_parties
25,7,3/7/2020,25_sg_united_together_sar
26,18,3/7/2020,26_best_rocky_betterment_choices
27,4,3/7/2020,27_years_time_countdown_admin
29,2,3/7/2020,29_morning_sirs_herro_morningeverbody
30,5,3/7/2020,30_talk_listening_dialogue_louder
31,1,3/7/2020,31_eat_food_eating_lunch
33,2,3/7/2020,33_hari_proud_muslim_muslims
35,4,3/7/2020,35_photo_picture_pic_beautiful
36,6,3/7/2020,36_vote_voted_votes_voting
37,1,3/7/2020,37_covid_test_ge_markets
38,7,3/7/2020,38_hope_future_better_tomorrow
39,27,3/7/2020,39_vote_election_votepap_papy
42,11,3/7/2020,42_goodmorning_goodluck_lidder_mmorning
43,17,3/7/2020,43_support_supporting_heartedly_izzy
44,11,3/7/2020,44_wishes_wish_administration_victories
46,1,3/7/2020,46_parliament_opposition_debates_debate
47,4,3/7/2020,47_hello_dear_cavair_archana
49,3,3/7/2020,49_china_chinese_mandarin_coronavirus
52,2,3/7/2020,52_evening_night_goodnight_nights
54,4,3/7/2020,54_hero_super_superman_star
55,10,3/7/2020,55_job_jobs_worked_rewarded
58,12,3/7/2020,58_allah_bless_pray_insha
60,2,3/7/2020,60_malaysia_malay_malaysian_malays
61,1,3/7/2020,61_afternoon_osaka_dear_japan
62,6,3/7/2020,62_bangladesh_bangladeshi_workers_respec...
63,1,3/7/2020,63_shake_hands_fist_hand
64,5,3/7/2020,64_thanks_pro_sb_thankspro
66,6,3/7/2020,66_bless_diversity_squash_blessfor
67,10,3/7/2020,67_win_seat_winner_seats
68,1,3/7/2020,68_day_holiday_weekend_holidays
69,3,3/7/2020,69_win_victory_champion_winner
-1,383,5/7/2020,-1_support_well_need_leader
0,51,5/7/2020,0_lim_jia_lai_jin
1,49,5/7/2020,1_health_healthy_stay_leadership
2,50,5/7/2020,2_singaporean_singaporeans_opposition_pa...
3,45,5/7/2020,3_frontliners_fu_fuel_frontliner
4,10,5/7/2020,4_minister_prime_cabinet_ministers
6,5,5/7/2020,6_mask_wear_wearing_masks
7,13,5/7/2020,7_hsien_singapure_congratulations_strong...
8,4,5/7/2020,8_retirement_retire_happy_contribution
9,22,5/7/2020,9_suicide_pain_parents_family
10,2,5/7/2020,10_border_malaysia_borders_causeway
11,7,5/7/2020,11_tcb_hougang_tanjong_sengkang
